Index,Target,Type,Alcohol,Density,Nitrogen,pH,Sugar,A,B,C,D,Di,E,H,S,U,V
2374,2,white_wine,8.35,1.02,8.61,3.29,5.25,23.70,4.75,5.55,49.50,54.86,1.49,2.36,6.28,9.75,0.10
2375,3,white_wine,7.70,1.02,6.72,3.19,17.36,27.10,6.34,11.10,55.00,64.99,0.98,2.60,7.01,11.85,0.23
2376,3,white_wine,7.60,1.02,3.10,3.18,17.31,27.50,5.41,8.55,36.30,63.58,1.72,2.67,8.76,11.85,0.22
2377,4,white_wine,8.50,1.02,4.80,3.63,2.96,22.10,4.09,3.90,41.80,43.97,1.25,1.80,4.09,9.05,0.05
2378,4,white_wine,8.90,1.01,16.61,3.52,3.82,21.90,2.64,5.10,53.90,61.44,1.54,1.92,4.38,9.40,0.18
2379,5,white_wine,9.55,1.01,4.46,3.29,9.61,22.50,1.58,3.90,41.80,52.72,1.31,1.30,4.96,4.80,0.02
2380,3,white_wine,7.85,1.01,3.35,3.40,1.73,22.30,2.90,7.05,53.90,69.65,0.76,2.48,3.36,9.05,0.03
2381,4,white_wine,7.70,1.01,6.56,3.13,1.63,24.50,1.98,12.30,75.90,92.26,1.56,8.68,2.92,5.15,0.21
2382,5,white_wine,9.05,1.01,6.69,3.35,6.01,25.50,1.19,7.80,22.00,38.98,1.31,0.50,2.63,3.90,0.16
2383,5,white_wine,8.60,1.01,0.88,3.58,2.30,23.10,2.90,4.80,36.30,45.05,0.93,2.17,6.72,4.20,0.25
2384,3,red_wine,7.35,1.02,2.91,3.36,1.92,30.10,3.96,5.70,28.60,41.62,1.10,9.92,6.28,4.20,0.04
2385,2,white_wine,7.95,1.02,3.44,3.37,12.46,25.30,3.04,3.45,20.90,26.96,0.85,2.79,4.09,6.65,0.01
2386,4,red_wine,8.05,1.02,17.82,3.36,3.44,30.90,4.36,8.25,23.10,36.32,1.43,4.15,9.78,2.40,0.00
2387,3,white_wine,7.70,1.02,12.66,3.44,10.19,22.90,1.98,5.25,58.30,67.70,0.67,2.05,3.65,6.70,0.20
2388,3,red_wine,8.15,1.02,12.85,3.57,2.77,26.70,10.16,2.10,13.20,26.30,1.30,5.21,4.67,2.40,0.16
2389,4,white_wine,9.15,1.01,3.63,3.16,1.82,21.70,2.90,3.45,39.60,50.50,1.32,1.55,1.75,5.75,0.16
2390,3,red_wine,7.80,1.02,8.86,3.49,2.68,28.90,7.99,3.90,24.20,23.96,1.35,4.53,4.82,6.85,0.34
2391,6,white_wine,8.65,1.02,2.62,3.51,5.53,24.90,4.22,4.35,33.00,47.08,1.14,2.17,4.09,5.80,0.10
2392,4,white_wine,8.35,1.01,1.36,3.45,1.16,23.30,1.72,5.40,51.70,65.61,1.46,1.55,6.72,5.35,0.12
2393,4,white_wine,8.50,1.02,2.85,3.34,6.86,24.90,2.24,4.35,33.00,46.12,1.56,0.68,1.02,5.35,0.11
2394,3,white_wine,8.40,1.02,8.37,3.50,4.96,23.70,2.38,3.30,119.90,125.58,2.17,1.98,6.57,9.60,0.19
2395,3,white_wine,8.35,1.02,5.18,3.43,15.98,23.90,1.98,4.80,67.10,82.86,1.53,2.23,2.92,7.35,0.05
2396,4,red_wine,8.70,1.02,5.20,3.62,2.11,23.70,6.34,3.30,15.40,25.47,1.55,4.03,8.76,0.90,0.11
2397,4,white_wine,8.15,1.02,6.83,3.45,5.82,23.10,1.72,5.25,50.60,64.67,1.08,2.11,4.09,9.55,0.03
2398,1,red_wine,7.60,1.02,14.49,3.46,2.49,33.30,6.60,9.90,9.90,23.58,1.38,4.03,5.11,2.05,0.03
2399,3,white_wine,7.70,1.02,6.25,3.24,1.54,23.70,1.85,5.40,40.70,40.80,1.38,2.67,4.67,6.05,0.05
2400,4,white_wine,9.05,1.01,5.92,3.63,4.39,21.50,3.70,5.10,22.00,33.46,2.21,1.05,3.36,3.55,0.18
2401,4,white_wine,8.00,1.01,5.44,3.20,5.25,23.70,1.19,2.55,27.50,33.48,1.50,2.48,2.34,3.80,0.07
2402,6,white_wine,9.00,1.01,5.25,3.59,2.11,21.70,1.19,5.10,104.50,114.62,1.26,2.23,9.93,8.20,0.16
2403,3,red_wine,7.80,1.02,3.57,3.45,2.30,26.10,8.78,8.40,31.90,43.96,1.11,6.76,6.42,6.40,0.33
2404,3,white_wine,7.75,1.01,0.99,3.45,1.16,21.70,0.92,4.20,46.20,60.42,0.82,1.74,4.23,6.05,0.22
2405,4,white_wine,8.20,1.02,10.16,3.36,9.52,24.40,1.19,3.60,60.50,69.78,1.76,6.82,3.21,8.60,0.15
2406,3,white_wine,7.60,1.02,4.04,3.21,11.89,24.90,2.64,7.50,51.70,72.23,1.16,2.48,3.21,5.80,0.17
2407,4,white_wine,9.30,1.01,9.12,3.48,2.30,23.30,3.30,6.15,14.30,25.47,1.22,1.12,5.99,3.65,0.14
2408,3,red_wine,7.65,1.02,11.95,3.47,1.92,25.70,7.00,4.35,8.80,13.78,1.50,6.51,19.56,1.15,0.38
2409,4,white_wine,8.00,1.02,3.07,3.53,1.73,,2.51,7.35,20.90,26.49,1.17,2.54,3.21,3.40,0.06
2410,4,white_wine,8.15,1.02,8.29,3.59,7.33,24.10,1.06,3.90,31.90,36.68,1.96,2.36,5.26,10.70,0.12
2411,4,white_wine,7.85,1.02,10.44,3.39,13.04,23.10,2.38,11.10,73.70,87.91,1.49,2.17,4.67,10.90,0.09
2412,3,white_wine,8.40,1.02,2.47,3.44,7.05,26.50,3.04,6.45,18.70,33.86,1.09,2.36,6.13,4.05,0.09
2413,3,red_wine,8.00,1.02,8.83,3.54,2.40,22.50,5.02,4.35,34.10,47.92,1.70,4.03,5.84,4.60,0.06
2414,5,white_wine,8.60,1.01,4.09,3.48,2.49,24.50,2.11,4.35,39.60,49.47,1.09,1.74,6.13,4.80,0.15
2415,4,white_wine,8.60,1.01,1.37,3.34,1.63,23.90,2.24,5.25,30.80,42.11,1.25,1.86,4.38,9.25,0.02
2416,3,red_wine,7.80,1.02,2.59,3.36,2.77,30.10,3.56,6.75,20.90,30.30,0.99,5.15,3.07,4.10,0.23
2417,3,red_wine,7.80,1.02,5.08,3.30,2.68,29.90,7.26,3.60,5.50,13.51,1.34,4.22,5.11,1.35,0.01
2418,4,red_wine,8.50,1.02,6.50,3.51,1.92,26.10,2.90,9.45,16.50,39.49,1.00,4.46,8.18,1.15,0.13
2419,3,white_wine,8.25,1.02,3.70,3.51,5.91,21.70,3.37,2.10,52.80,64.43,1.36,2.29,7.15,9.55,0.05
2420,4,red_wine,8.00,1.02,9.20,3.45,2.68,25.70,8.65,1.20,9.90,25.14,1.63,5.15,7.15,1.75,0.44
2421,3,red_wine,7.75,1.02,3.48,3.29,2.02,25.70,4.36,10.20,18.70,23.24,1.03,28.40,15.91,3.15,0.15
2422,4,red_wine,7.70,1.02,4.80,3.14,2.30,32.70,3.43,6.75,5.50,16.81,1.14,4.53,6.42,0.45,0.39
2423,5,white_wine,8.15,1.02,2.57,3.54,5.34,23.50,0.53,4.50,40.70,46.67,1.57,2.42,3.21,5.35,0.06
2424,4,white_wine,8.35,1.01,1.00,3.71,2.02,23.10,1.32,4.35,41.80,58.91,1.35,1.61,4.09,6.90,0.15
2425,5,white_wine,8.45,1.01,6.43,3.38,1.44,22.90,0.33,4.35,47.30,58.91,0.87,1.61,4.82,6.70,0.14
2426,2,red_wine,8.00,1.02,19.75,3.82,3.53,26.30,10.43,0.00,27.50,37.22,1.29,5.39,7.30,2.75,0.14
2427,3,white_wine,7.75,1.02,4.73,3.19,12.37,26.10,6.20,6.30,39.60,49.00,1.68,12.52,4.96,10.35,0.25
2428,4,red_wine,8.30,1.02,4.87,3.33,2.87,34.90,3.56,7.35,28.60,38.46,1.27,4.34,7.74,3.15,0.07
2429,4,red_wine,7.80,1.02,0.54,3.63,2.68,24.70,4.09,4.65,8.80,22.66,1.54,4.03,4.67,2.00,0.13
2430,4,red_wine,8.40,1.02,8.05,3.53,2.11,28.30,2.64,7.20,27.50,37.63,0.87,3.60,11.97,2.00,0.42
2431,4,white_wine,9.70,1.01,3.41,3.42,3.06,23.30,3.96,4.20,17.60,23.34,1.65,2.11,3.65,3.05,0.08
2432,3,red_wine,7.80,1.02,4.22,3.31,2.58,27.50,9.04,3.30,8.80,21.65,1.49,3.41,4.82,1.80,0.04
2433,4,red_wine,8.95,1.02,4.66,3.82,2.30,23.50,10.30,1.05,20.90,25.87,1.01,5.64,7.59,2.55,0.13
2434,4,white_wine,9.00,1.01,3.89,3.37,8.38,24.30,4.75,4.05,64.90,71.82,1.56,2.98,2.04,7.70,0.17
2435,4,white_wine,7.65,1.02,7.16,3.06,10.28,22.70,1.98,7.50,66.00,71.47,1.37,2.11,3.50,6.30,0.14
2436,4,white_wine,7.65,1.02,12.35,3.46,6.38,26.90,1.58,4.05,31.90,38.33,1.39,2.42,4.09,6.85,0.25
2437,4,red_wine,8.55,1.02,5.02,3.66,2.30,,7.26,0.45,28.60,38.90,0.88,4.40,6.13,1.85,0.19
2438,3,red_wine,7.75,1.02,9.70,3.70,2.30,25.50,6.34,3.00,8.80,13.60,1.42,4.09,5.84,1.65,0.04
2439,4,white_wine,8.75,1.01,4.77,3.45,4.39,22.70,1.19,4.80,39.60,47.33,0.87,1.92,3.07,5.55,0.16
2440,5,red_wine,9.30,1.02,11.64,3.53,2.77,26.50,3.30,5.85,30.80,40.56,1.58,4.03,9.64,2.10,0.17
2441,3,red_wine,8.80,1.02,5.70,3.90,2.40,21.30,11.02,0.00,17.60,29.73,0.73,1.98,7.45,3.60,0.16
2442,4,white_wine,8.20,1.02,13.55,3.33,6.58,23.50,1.58,3.60,29.70,33.03,1.74,2.17,1.61,4.70,0.09
2443,3,white_wine,8.05,1.02,11.49,3.36,2.11,25.70,2.51,4.20,22.00,35.10,1.31,2.54,3.21,6.05,0.09
2444,3,red_wine,7.70,1.02,4.95,3.41,8.09,25.10,9.11,3.00,31.90,43.74,1.51,5.52,5.26,4.30,0.14
2445,3,red_wine,7.90,1.02,5.02,3.34,3.53,31.70,2.38,6.75,20.90,27.62,1.27,3.16,4.67,2.15,0.38
2446,4,white_wine,8.10,1.02,0.59,3.05,5.06,29.50,2.11,7.35,2.20,17.45,0.83,1.43,4.67,0.60,0.05
2447,4,white_wine,7.80,1.02,5.84,3.39,3.06,22.50,1.58,4.80,17.60,24.10,0.88,2.54,4.82,6.00,0.03
2448,4,red_wine,7.95,1.02,7.54,3.57,2.49,24.10,6.20,1.95,15.40,26.67,1.15,4.09,5.40,1.45,0.10
2449,4,white_wine,8.05,1.02,7.36,3.37,12.18,23.10,3.56,4.20,93.50,103.42,1.21,2.60,4.23,10.35,0.03
2450,1,red_wine,8.07,1.02,4.79,3.77,2.11,23.50,8.98,0.30,5.50,18.45,0.81,4.28,5.99,0.30,0.35
2451,3,white_wine,7.80,1.02,2.87,3.41,9.99,23.90,4.36,4.95,29.70,39.86,1.20,2.11,4.38,7.30,0.18
2452,4,white_wine,8.85,1.02,4.19,3.14,7.24,28.10,2.90,7.35,34.10,43.86,1.34,1.86,1.46,3.90,0.07
2453,3,white_wine,7.75,1.02,1.50,3.32,1.92,28.90,2.64,4.50,38.50,59.92,0.84,2.23,3.94,6.65,0.02
2454,4,white_wine,7.45,1.02,7.28,3.30,1.54,23.30,1.45,14.85,48.40,51.59,1.47,7.01,1.31,6.15,0.08
2455,5,white_wine,9.05,1.01,4.63,3.20,1.44,23.30,1.19,4.20,59.40,67.47,1.02,1.55,4.38,5.10,0.13
2456,5,white_wine,9.55,1.01,3.22,3.33,5.53,23.50,4.36,3.60,35.20,52.95,1.26,1.61,3.21,5.45,0.18
2457,4,white_wine,7.65,1.02,14.74,3.40,6.96,22.30,2.64,3.75,47.30,53.41,0.71,2.91,2.63,9.75,0.00
2458,4,red_wine,8.55,1.02,21.14,3.54,2.30,25.90,9.04,0.00,8.80,18.39,1.26,4.65,6.72,0.80,0.29
2459,3,red_wine,7.75,1.02,0.33,3.31,2.30,25.10,6.60,3.00,36.30,44.28,0.90,3.97,3.07,1.90,0.35
2460,3,white_wine,7.75,1.01,2.52,3.21,1.44,24.50,4.22,7.35,11.00,27.07,1.50,2.42,2.92,6.60,0.13
2461,4,red_wine,7.75,1.02,11.21,3.72,2.77,26.50,6.73,0.00,19.80,29.46,1.19,5.21,6.28,2.60,0.06
2462,5,white_wine,8.80,1.01,6.75,3.57,1.35,21.70,2.38,4.35,37.40,35.42,1.16,2.05,3.80,4.75,0.04
2463,3,white_wine,7.45,1.02,1.77,3.24,12.28,24.50,2.51,11.10,50.60,66.62,1.09,1.74,3.21,7.50,0.04
2464,5,white_wine,8.20,1.02,3.76,3.32,4.96,25.10,1.72,4.80,41.80,52.70,1.34,2.91,4.38,5.35,0.10
2465,3,red_wine,7.80,1.02,4.19,3.66,2.58,24.30,7.79,0.00,18.70,27.41,1.11,4.59,4.67,1.05,0.28
2466,4,white_wine,7.70,1.02,4.11,3.41,14.08,24.70,0.66,4.80,36.30,47.27,1.16,2.60,1.90,5.15,0.06
2467,4,white_wine,8.05,1.02,3.28,3.60,7.14,22.90,2.38,3.15,37.40,50.91,0.93,1.92,5.26,7.80,0.27
2468,4,white_wine,9.05,1.01,2.12,3.13,7.91,26.70,1.06,5.55,40.70,41.33,2.16,0.99,2.19,5.05,0.12
2469,4,white_wine,7.90,1.02,2.44,3.33,13.89,23.70,1.45,8.70,55.00,65.16,1.16,1.80,3.80,7.90,0.17
2470,4,white_wine,8.90,1.01,4.61,3.34,5.39,24.90,2.90,3.30,35.20,47.57,1.41,2.73,3.36,8.70,0.13
2471,3,white_wine,8.30,1.01,3.94,3.28,2.02,24.10,3.04,7.80,4.40,14.21,2.15,1.24,3.07,2.75,0.07
2472,5,white_wine,9.95,1.01,0.60,3.63,3.34,21.90,1.19,4.35,34.10,46.24,2.22,1.30,1.61,5.85,0.08
2473,3,white_wine,8.05,1.02,4.58,3.42,2.40,25.70,2.11,5.70,14.30,30.20,1.78,3.04,4.82,8.05,0.10
2474,4,white_wine,7.65,1.02,2.40,3.33,10.85,22.50,0.92,4.05,49.50,60.92,1.65,1.61,2.34,5.50,0.11
2475,5,white_wine,7.90,1.02,6.93,3.28,13.32,24.10,2.90,7.65,42.90,56.09,1.47,2.54,4.38,8.10,0.12
2476,3,white_wine,8.80,1.01,6.20,3.30,2.11,26.50,2.64,6.30,31.90,45.09,1.75,1.36,2.48,4.35,0.06
2477,3,white_wine,7.80,1.02,4.10,3.29,16.26,24.10,5.02,3.00,53.90,53.65,1.38,2.29,4.96,8.90,0.04
2478,4,red_wine,8.05,1.02,6.92,3.69,2.11,24.30,6.86,0.00,16.50,18.48,1.54,4.03,7.01,1.40,0.22
2479,4,white_wine,8.10,1.02,2.28,3.57,7.33,22.50,3.56,4.35,60.50,74.60,1.04,2.17,4.82,11.90,0.04
2480,3,white_wine,8.00,1.02,2.37,3.37,12.75,24.10,1.98,5.40,78.10,87.52,0.79,2.60,3.94,8.55,0.07
2481,5,white_wine,9.75,1.01,2.46,3.41,4.20,22.50,3.70,4.80,47.30,54.44,1.61,1.67,4.09,4.30,0.05
2482,4,white_wine,8.60,1.01,7.05,3.71,1.54,22.70,1.72,4.65,31.90,50.28,1.96,2.11,6.72,5.55,0.13
2483,4,white_wine,7.85,1.02,0.86,3.43,7.24,24.10,1.98,3.90,22.00,32.35,0.59,1.98,4.82,4.20,0.13
2484,6,white_wine,9.15,1.01,4.49,3.57,1.73,20.50,4.75,0.60,46.20,62.53,1.66,1.67,1.61,5.65,0.06
2485,3,white_wine,7.80,1.02,1.03,3.30,10.47,26.70,4.09,10.50,35.20,59.74,1.37,2.23,5.11,8.15,0.06
2486,3,red_wine,7.70,1.02,2.26,3.40,2.77,27.70,4.49,3.15,35.20,52.92,1.11,5.15,4.38,4.10,0.16
2487,4,white_wine,9.55,1.01,5.29,3.45,2.30,23.70,1.19,5.10,40.70,51.82,1.51,1.92,3.36,5.25,0.22
2488,3,red_wine,8.45,1.02,5.06,3.67,3.25,23.70,9.17,0.00,7.70,10.53,1.37,5.77,4.96,0.85,0.07
2489,5,white_wine,8.70,1.02,1.74,3.45,2.02,25.50,1.06,6.15,64.90,81.67,1.54,2.42,6.42,8.35,0.20
2490,6,white_wine,9.50,1.01,4.25,3.55,3.72,22.70,4.36,2.70,24.20,30.45,1.55,1.12,4.67,5.15,0.23
2491,4,white_wine,7.75,1.02,7.81,3.38,11.80,22.50,6.20,6.75,28.60,38.26,1.21,2.48,4.09,9.00,0.09
2492,4,red_wine,8.10,1.02,4.61,3.53,2.68,25.10,7.39,0.00,18.70,34.80,1.44,4.22,5.55,1.15,0.38
2493,5,red_wine,8.70,1.02,4.40,3.38,2.58,26.90,3.83,6.45,12.10,28.68,1.04,3.35,8.61,0.65,0.11
2494,4,white_wine,7.65,1.02,5.26,3.27,13.13,22.90,1.19,5.10,48.40,64.47,1.42,2.17,3.07,6.65,0.03
2495,5,white_wine,7.85,1.02,5.32,3.41,13.04,24.10,0.92,4.50,49.50,60.50,1.25,2.48,2.04,5.70,0.21
2496,4,white_wine,7.75,1.02,7.03,3.29,10.09,25.30,2.90,3.30,61.60,76.23,1.88,2.48,2.63,9.25,0.25
2497,5,white_wine,9.15,1.01,4.03,3.42,6.19,21.30,2.64,6.00,38.50,44.22,1.49,1.55,3.07,5.60,0.25
2498,4,white_wine,9.25,1.01,4.36,3.50,4.87,22.30,3.43,6.90,22.00,36.29,1.48,1.24,5.84,4.40,0.13
2499,4,white_wine,9.00,1.01,1.38,3.45,5.25,23.70,2.11,5.10,33.00,50.05,1.00,1.80,3.50,4.65,0.02
2500,3,white_wine,8.10,1.02,6.05,3.53,1.63,25.70,2.90,5.55,16.50,23.29,0.98,2.60,5.84,4.50,0.01
2501,5,red_wine,9.20,1.02,8.97,3.38,3.63,33.90,8.12,7.95,6.60,25.65,1.32,7.38,9.05,0.75,0.20
2502,5,white_wine,7.85,1.02,5.67,3.22,3.15,23.50,2.24,4.95,56.10,63.92,1.46,2.98,3.80,8.35,0.09
2503,5,white_wine,9.45,1.01,2.54,3.52,2.58,22.10,2.77,4.05,20.90,37.94,1.37,2.17,2.77,5.55,0.06
2504,5,red_wine,9.25,1.02,0.88,3.74,2.58,23.30,10.03,0.45,34.10,50.98,1.40,3.10,4.96,2.10,0.24
2505,5,white_wine,9.10,1.01,3.22,3.73,1.59,21.30,1.32,8.70,30.80,44.08,1.31,1.55,5.55,6.15,0.20
2506,1,red_wine,8.00,1.02,3.82,3.53,1.54,23.70,9.70,0.00,16.50,26.13,2.46,16.00,4.23,1.15,0.23
2507,3,red_wine,7.70,1.02,9.61,3.40,2.49,33.50,5.41,7.35,4.40,13.69,1.59,4.59,3.07,0.45,0.27
2508,3,red_wine,7.90,1.02,6.37,3.49,2.77,29.50,3.17,8.10,29.70,37.14,1.18,5.27,8.76,3.85,0.20
2509,5,white_wine,8.40,1.02,2.58,3.40,4.20,24.10,1.19,4.95,17.60,37.58,0.97,1.55,2.48,6.05,0.15
2510,4,white_wine,8.35,1.01,6.20,3.64,2.21,22.10,4.36,3.15,30.80,41.85,1.18,2.54,4.38,5.80,0.20
2511,4,white_wine,7.50,1.02,6.66,3.55,14.27,24.10,2.64,4.95,50.60,58.53,1.33,2.11,6.57,8.10,0.07
2512,3,red_wine,7.75,1.02,5.07,3.66,2.77,24.50,8.58,0.30,16.50,25.28,1.74,4.15,4.38,1.80,0.00
2513,4,red_wine,9.40,1.02,22.92,3.59,2.68,23.30,6.60,0.30,19.80,29.16,1.53,3.72,6.42,1.70,0.32
2514,3,red_wine,9.60,1.02,13.93,3.39,4.96,37.10,5.94,11.85,24.20,34.04,1.69,6.88,8.03,3.55,0.36
2515,4,white_wine,7.80,1.02,11.00,3.42,6.29,23.70,2.38,7.20,59.40,70.50,1.14,2.48,3.36,8.80,0.14
2516,3,white_wine,7.50,1.02,1.99,3.38,17.83,25.10,2.38,3.90,35.20,49.78,1.42,4.65,2.48,6.65,0.13
2517,3,white_wine,8.00,1.02,5.28,3.31,12.56,23.70,2.90,4.95,64.90,75.16,1.55,1.98,4.96,8.10,0.10
2518,6,red_wine,8.00,1.02,2.78,3.08,2.49,35.30,3.04,10.80,5.50,14.13,1.80,3.91,8.76,1.15,0.38
2519,3,red_wine,7.70,1.02,1.87,3.33,2.58,25.30,9.37,3.15,22.00,34.10,1.50,4.84,3.21,3.10,0.10
2520,3,white_wine,7.80,1.02,0.89,3.31,12.09,23.30,2.11,3.30,37.40,41.84,1.34,2.60,6.57,7.00,0.21
2521,3,white_wine,7.40,1.02,7.39,3.13,14.65,26.70,3.70,8.55,37.40,39.17,0.72,2.67,6.13,12.50,0.15
2522,2,white_wine,8.40,1.02,4.03,3.55,4.77,23.70,2.51,4.35,5.50,17.29,1.85,2.29,3.80,4.10,0.17
2523,6,white_wine,9.00,1.01,0.83,3.59,2.11,21.70,1.19,5.10,104.50,119.11,1.33,2.23,9.93,8.20,0.06
2524,4,white_wine,9.40,1.01,3.99,3.20,4.39,25.30,3.96,4.20,6.60,14.56,1.79,1.24,2.77,5.30,0.22
2525,3,white_wine,7.70,1.02,1.63,3.28,17.31,,2.51,3.30,16.50,30.71,1.08,1.55,4.53,5.50,0.18
2526,3,red_wine,8.05,1.02,4.55,3.42,2.30,25.70,6.86,3.90,33.00,38.73,1.33,4.40,4.38,6.25,0.39
2527,4,red_wine,8.05,1.02,0.14,3.47,2.96,26.90,5.81,3.30,3.30,14.58,0.62,4.65,5.11,0.60,0.22
2528,4,white_wine,7.60,1.02,6.68,3.09,10.47,23.70,1.85,4.50,72.60,81.64,1.34,3.78,2.92,9.40,0.17
2529,4,white_wine,7.90,1.02,3.89,3.55,1.73,21.90,2.11,1.80,64.90,69.86,0.85,1.61,3.21,12.05,0.14
2530,3,white_wine,7.40,1.02,12.92,3.46,7.62,23.10,0.79,4.95,57.20,67.03,1.36,2.54,3.94,9.15,0.10
2531,5,white_wine,9.60,1.02,2.31,3.40,15.12,22.10,2.64,4.05,33.00,44.18,1.52,1.67,3.21,6.40,0.19
2532,4,white_wine,7.50,1.02,0.71,3.34,17.26,22.70,3.17,2.55,55.00,67.92,1.36,3.16,3.80,9.20,0.23
2533,5,red_wine,8.50,1.02,19.05,3.80,2.68,24.90,7.33,1.50,16.50,26.56,1.81,4.40,6.86,1.35,0.28
2534,6,white_wine,8.85,1.02,10.44,3.43,7.81,23.90,1.85,4.20,46.20,61.81,2.17,2.54,5.55,5.50,0.24
2535,4,white_wine,8.30,1.01,8.93,3.42,4.96,22.50,3.04,3.90,38.50,49.31,1.34,1.74,2.77,7.10,0.05
2536,4,white_wine,8.35,1.02,3.78,3.74,5.91,21.90,0.92,4.65,57.20,64.92,1.40,1.98,3.50,7.45,0.10
2537,4,white_wine,9.00,1.01,8.26,3.15,6.01,,4.09,5.10,35.20,38.69,1.54,2.85,4.23,6.10,0.23
2538,5,white_wine,7.45,1.02,3.63,3.10,15.12,24.90,1.06,4.05,26.40,37.65,1.02,2.54,3.07,6.45,0.25
2539,5,red_wine,8.00,1.02,4.63,3.32,2.58,35.10,2.64,8.10,12.10,15.51,1.09,4.53,16.64,1.15,0.33
2540,4,white_wine,7.50,1.02,2.84,3.44,16.74,22.50,1.98,5.40,39.60,55.87,1.60,1.86,3.07,6.20,0.07
2541,2,red_wine,8.75,1.02,6.61,3.65,3.63,30.30,11.29,3.30,11.00,15.33,1.63,5.95,6.13,4.00,0.28
2542,3,white_wine,8.80,1.01,0.51,3.41,2.49,24.10,2.90,4.20,22.00,44.71,0.96,2.05,5.11,8.55,0.03
2543,4,white_wine,7.70,1.02,6.06,3.25,16.98,26.10,2.11,4.50,46.20,57.13,1.37,2.91,4.09,8.90,0.04
2544,4,white_wine,8.15,1.02,2.27,3.39,1.92,26.30,1.19,3.15,25.30,40.03,1.67,1.67,4.38,5.65,0.17
2545,5,white_wine,8.18,1.02,5.22,3.53,6.10,22.10,1.19,4.95,31.90,41.81,1.80,1.67,5.26,5.25,0.22
2546,5,red_wine,9.20,1.02,6.22,3.55,4.77,28.90,4.36,7.20,9.90,23.29,0.81,3.91,8.32,0.70,0.23
2547,3,red_wine,7.85,1.02,5.26,3.40,2.68,27.70,7.00,2.10,9.90,21.89,1.10,3.60,5.40,1.80,0.29
2548,3,white_wine,7.40,1.02,5.24,3.18,22.72,,2.51,7.35,63.80,70.44,1.28,2.98,3.65,11.45,0.10
2549,5,white_wine,9.95,1.01,2.03,3.64,4.67,21.30,5.41,1.95,17.60,24.75,1.52,1.86,9.93,5.50,0.16
2550,4,white_wine,8.70,1.01,3.85,3.28,4.67,22.90,3.96,2.85,38.50,51.59,1.08,1.80,2.92,5.65,0.31
2551,5,white_wine,8.55,1.02,10.45,3.32,9.71,23.70,1.32,4.20,30.80,38.77,0.80,1.86,3.36,5.35,0.27
2552,4,white_wine,8.35,1.02,3.99,3.53,4.87,23.50,1.32,2.85,61.60,74.97,1.46,2.29,6.42,7.75,0.19
2553,4,white_wine,8.15,1.02,2.68,3.48,7.53,22.90,1.85,7.35,45.10,58.42,1.15,2.79,4.38,7.25,0.01
2554,4,white_wine,8.40,1.02,5.50,3.34,9.71,23.70,1.32,3.60,69.30,75.77,1.37,3.04,4.23,9.10,0.21
2555,4,white_wine,8.20,1.02,4.80,3.15,3.63,27.30,1.06,5.70,44.00,58.25,1.20,1.92,2.48,6.85,0.16
2556,4,white_wine,8.25,1.01,3.84,3.51,1.92,23.50,1.98,3.75,29.70,38.81,0.92,1.67,4.67,6.85,0.24
2557,5,white_wine,8.65,1.01,5.97,3.56,1.92,23.90,2.64,4.50,49.50,66.61,1.51,2.36,2.34,6.30,0.08
2558,4,white_wine,9.30,1.01,3.98,3.37,1.63,23.10,2.38,4.65,63.80,75.20,1.18,1.55,4.67,6.95,0.00
2559,3,white_wine,8.35,1.02,1.44,3.44,10.28,24.50,2.38,4.80,24.20,31.59,0.90,3.29,3.94,5.40,0.16
2560,4,red_wine,7.70,1.02,2.02,3.55,2.11,24.10,8.05,1.20,23.10,37.12,0.76,5.46,4.67,4.15,0.28
2561,3,white_wine,8.60,1.02,4.28,3.24,7.05,25.10,1.98,5.40,46.20,50.83,1.59,1.67,1.46,7.75,0.23
2562,4,white_wine,8.60,1.01,3.48,3.44,2.30,24.10,2.24,8.40,20.90,38.15,1.52,1.61,4.53,4.45,0.24
2563,3,white_wine,8.15,1.02,4.32,3.36,2.30,28.30,2.64,7.35,9.90,11.57,1.22,3.10,3.50,5.30,0.01
2564,5,white_wine,8.65,1.01,4.82,3.35,1.25,21.70,1.85,4.35,36.30,48.94,1.16,1.55,2.04,4.15,0.24
2565,4,red_wine,7.80,1.02,7.79,3.60,2.11,27.90,1.85,7.20,30.80,44.63,1.05,4.22,4.53,2.70,0.17
2566,3,red_wine,7.65,1.02,11.46,3.66,2.11,24.30,7.52,2.70,13.20,22.72,1.26,3.78,5.55,1.70,0.15
2567,4,red_wine,8.35,1.02,2.12,3.42,2.87,25.10,5.41,3.00,7.70,14.29,1.56,20.03,9.93,0.40,0.41
2568,4,white_wine,9.30,1.01,10.38,3.49,1.54,20.90,2.77,5.70,33.00,47.26,0.97,,2.04,6.30,0.13
2569,5,white_wine,8.10,1.02,6.40,3.86,2.21,22.10,2.11,4.05,42.90,60.18,1.23,2.42,4.67,8.20,0.00
2570,4,white_wine,7.70,1.02,7.35,3.23,13.89,25.90,1.85,6.75,57.20,68.31,1.89,1.80,3.50,6.75,0.22
2571,3,white_wine,8.00,10.16,3.12,3.25,2.40,25.90,1.45,3.90,7.70,20.91,1.32,1.86,7.59,6.85,0.06
2572,3,white_wine,8.35,1.02,7.32,3.35,2.30,24.70,0.92,6.00,25.30,28.40,1.45,2.54,3.36,4.30,0.30
